,mean_fit_time,mean_score_time,mean_test_score,param_colsample_bytree,param_learning_rate,param_max_bin,param_max_depth,param_min_child_samples,param_min_child_weight,param_n_estimators,param_num_leaves,param_reg_alpha,param_reg_lambda,param_scale_pos_weight,param_subsample,param_subsample_for_bin,param_subsample_freq,params,rank_test_score,split0_test_score,split1_test_score,split2_test_score,std_fit_time,std_score_time,std_test_score
0,0.1953307787577311,0.016931533813476562,0.5,0.4160029192647807,0.28539836866041823,940,16,34,4,68,74,5.497557739289786e-07,0.05936070635912049,0.060830282487222144,0.13556548021189216,171234,6,"{'colsample_bytree': 0.4160029192647807, 'learning_rate': 0.28539836866041823, 'max_bin': 940, 'max_depth': 16, 'min_child_samples': 34, 'min_child_weight': 4, 'n_estimators': 68, 'num_leaves': 74, 'reg_alpha': 5.497557739289786e-07, 'reg_lambda': 0.05936070635912049, 'scale_pos_weight': 0.060830282487222144, 'subsample': 0.13556548021189216, 'subsample_for_bin': 171234, 'subsample_freq': 6}",1,0.5,0.5,0.5,0.007793784455056713,6.966910179770691e-05,0.0
1,0.22181304295857748,0.01735059420267741,0.5,0.8390144719977516,0.5842928269761146,373,48,43,1,57,36,0.0005266983003701547,276.5424475574225,0.3016410771843142,0.9923710598637134,406716,4,"{'colsample_bytree': 0.8390144719977516, 'learning_rate': 0.5842928269761146, 'max_bin': 373, 'max_depth': 48, 'min_child_samples': 43, 'min_child_weight': 1, 'n_estimators': 57, 'num_leaves': 36, 'reg_alpha': 0.0005266983003701547, 'reg_lambda': 276.5424475574225, 'scale_pos_weight': 0.3016410771843142, 'subsample': 0.9923710598637134, 'subsample_for_bin': 406716, 'subsample_freq': 4}",1,0.5,0.5,0.5,0.0015412271160783685,0.0003547543121275073,0.0
2,0.20148468017578125,0.017098506291707356,0.5,0.4503841871781403,0.6877728743793542,194,22,9,5,58,75,0.00010376808625045426,476.96194787286544,1.3165669602830552,0.387658500562527,179142,5,"{'colsample_bytree': 0.4503841871781403, 'learning_rate': 0.6877728743793542, 'max_bin': 194, 'max_depth': 22, 'min_child_samples': 9, 'min_child_weight': 5, 'n_estimators': 58, 'num_leaves': 75, 'reg_alpha': 0.00010376808625045426, 'reg_lambda': 476.96194787286544, 'scale_pos_weight': 1.3165669602830552, 'subsample': 0.387658500562527, 'subsample_for_bin': 179142, 'subsample_freq': 5}",1,0.5,0.5,0.5,0.001011367696976025,0.00013192604822825305,0.0
3,0.2338890234629313,0.01743308703104655,0.5,0.8142720284737898,0.022066991249460103,638,40,26,1,88,87,0.1611980387486336,4.3806965488564525e-05,0.0009365503147654213,0.8391548832503206,344173,0,"{'colsample_bytree': 0.8142720284737898, 'learning_rate': 0.022066991249460103, 'max_bin': 638, 'max_depth': 40, 'min_child_samples': 26, 'min_child_weight': 1, 'n_estimators': 88, 'num_leaves': 87, 'reg_alpha': 0.1611980387486336, 'reg_lambda': 4.3806965488564525e-05, 'scale_pos_weight': 0.0009365503147654213, 'subsample': 0.8391548832503206, 'subsample_for_bin': 344173, 'subsample_freq': 0}",1,0.5,0.5,0.5,0.0013246284836376627,0.00026906184246097215,0.0
4,0.267689307530721,0.017365058263142902,0.5,0.8015579071911014,0.07517239253342656,574,36,45,7,71,65,1.5057560255472018e-06,0.08186810622382998,0.029004593634154585,0.8835665823899177,202222,3,"{'colsample_bytree': 0.8015579071911014, 'learning_rate': 0.07517239253342656, 'max_bin': 574, 'max_depth': 36, 'min_child_samples': 45, 'min_child_weight': 7, 'n_estimators': 71, 'num_leaves': 65, 'reg_alpha': 1.5057560255472018e-06, 'reg_lambda': 0.08186810622382998, 'scale_pos_weight': 0.029004593634154585, 'subsample': 0.8835665823899177, 'subsample_for_bin': 202222, 'subsample_freq': 3}",1,0.5,0.5,0.5,0.0031746539414862873,0.00026863940285580816,0.0
5,0.2671387990315755,0.017535607020060223,0.5,0.7366877378057127,0.7563790218678241,247,9,40,4,73,54,0.011683028450342707,0.0048879464985534336,0.13267482411031659,0.5689543694097536,108942,5,"{'colsample_bytree': 0.7366877378057127, 'learning_rate': 0.7563790218678241, 'max_bin': 247, 'max_depth': 9, 'min_child_samples': 40, 'min_child_weight': 4, 'n_estimators': 73, 'num_leaves': 54, 'reg_alpha': 0.011683028450342707, 'reg_lambda': 0.0048879464985534336, 'scale_pos_weight': 0.13267482411031659, 'subsample': 0.5689543694097536, 'subsample_for_bin': 108942, 'subsample_freq': 5}",1,0.5,0.5,0.5,0.004453934023238261,0.0003931608556411018,0.0
6,0.7010363737742106,0.16678635279337564,0.9832240262804983,0.6209085649172932,0.35540927532494104,423,44,30,6,82,43,0.004026635957416632,0.040887904512512056,109.72255122430063,0.6612742297240571,344698,3,"{'colsample_bytree': 0.6209085649172932, 'learning_rate': 0.35540927532494104, 'max_bin': 423, 'max_depth': 44, 'min_child_samples': 30, 'min_child_weight': 6, 'n_estimators': 82, 'num_leaves': 43, 'reg_alpha': 0.004026635957416632, 'reg_lambda': 0.040887904512512056, 'scale_pos_weight': 109.72255122430063, 'subsample': 0.6612742297240571, 'subsample_for_bin': 344698, 'subsample_freq': 3}",1,0.9725622130371883,0.9785964245086952,0.9985143586972086,0.0015908150118439295,0.002821718397799244,0.0110886815449463
7,0.277881383895874,0.01702276865641276,0.5,0.5479690370134094,0.6918603669668356,547,42,16,1,79,4,2.9618722230360503e-06,8.153638964242,0.0015718563651880596,0.577028860872224,376134,1,"{'colsample_bytree': 0.5479690370134094, 'learning_rate': 0.6918603669668356, 'max_bin': 547, 'max_depth': 42, 'min_child_samples': 16, 'min_child_weight': 1, 'n_estimators': 79, 'num_leaves': 4, 'reg_alpha': 2.9618722230360503e-06, 'reg_lambda': 8.153638964242, 'scale_pos_weight': 0.0015718563651880596, 'subsample': 0.577028860872224, 'subsample_for_bin': 376134, 'subsample_freq': 1}",1,0.5,0.5,0.5,0.0006878329314894843,8.388118455797522e-05,0.0
8,0.46359578768412274,0.10050876935323079,0.9875475700198882,0.955923206446829,0.2519085390684862,884,21,19,2,50,38,0.00022356829889037284,1.2908532337409298e-07,4.73588486119117,0.4499578015509351,149866,2,"{'colsample_bytree': 0.955923206446829, 'learning_rate': 0.2519085390684862, 'max_bin': 884, 'max_depth': 21, 'min_child_samples': 19, 'min_child_weight': 2, 'n_estimators': 50, 'num_leaves': 38, 'reg_alpha': 0.00022356829889037284, 'reg_lambda': 1.2908532337409298e-07, 'scale_pos_weight': 4.73588486119117, 'subsample': 0.4499578015509351, 'subsample_for_bin': 149866, 'subsample_freq': 2}",1,0.9847362749905759,0.9828597925694633,0.9950470924619726,0.010909069294358724,0.004757496864275166,0.005357854728811559
9,0.17399700482686362,0.01755046844482422,0.5,0.013594004182195795,0.43217539671382244,767,13,29,3,66,16,0.11080071157037095,5.745523087821567,3.573713830065675,0.029649078936835577,194589,7,"{'colsample_bytree': 0.013594004182195795, 'learning_rate': 0.43217539671382244, 'max_bin': 767, 'max_depth': 13, 'min_child_samples': 29, 'min_child_weight': 3, 'n_estimators': 66, 'num_leaves': 16, 'reg_alpha': 0.11080071157037095, 'reg_lambda': 5.745523087821567, 'scale_pos_weight': 3.573713830065675, 'subsample': 0.029649078936835577, 'subsample_for_bin': 194589, 'subsample_freq': 7}",1,0.5,0.5,0.5,0.0016488307882938547,0.000403028866634002,0.0
